dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
1.3002336,1,0,3,18,0,3,1,2,0.44,0.4394,0.54,0.2239
1.3276224,1,1,1,15,0,5,1,1,0.48,0.4697,0.51,0.3284
1.3255488,1,1,1,8,0,2,1,1,0.16,0.1364,0.55,0.2836
1.3284,1,1,2,11,0,0,0,2,0.26,0.2576,0.7,0.194
1.3214016,4,0,11,14,0,3,1,2,0.46,0.4545,1.0,0.1343
1.3389408,2,1,6,23,0,3,1,1,0.52,0.5,0.77,0.0
1.3359168,2,1,5,13,0,3,1,2,0.58,0.5455,0.78,0.194
1.3097376,3,0,7,17,1,1,0,1,0.8,0.7273,0.46,0.0
1.3001472,1,0,3,0,0,2,1,1,0.32,0.3485,0.53,0.0
1.320192,4,0,11,9,0,3,1,1,0.34,0.3636,0.87,0.0
1.3228704,4,0,12,6,0,6,0,1,0.24,0.2576,0.65,0.1045
1.346112,3,1,8,23,0,2,1,1,0.68,0.6364,0.57,0.0
1.3360032,2,1,5,11,0,4,1,1,0.54,0.5152,0.77,0.0
1.3324608,2,1,3,10,0,5,1,2,0.56,0.5303,0.88,0.1045
1.3392864,2,1,6,21,0,0,0,1,0.72,0.6818,0.62,0.1642
1.3390272,2,1,6,4,0,4,1,1,0.46,0.4545,0.88,0.1045
1.306368,2,0,5,0,0,4,1,1,0.64,0.6061,0.73,0.1343
1.350432,4,1,10,18,0,3,1,1,0.52,0.5,0.59,0.1642
1.322352,4,0,11,16,0,0,0,1,0.56,0.5303,0.52,0.2537
1.336176,2,1,5,20,0,6,0,1,0.6,0.5758,0.78,0.2537
1.3138848,3,0,8,17,0,0,0,1,0.72,0.697,0.79,0.1343
1.3385088,2,1,6,12,0,5,1,2,0.7,0.6667,0.74,0.3582
1.3101696,3,0,7,18,0,6,0,1,0.82,0.7273,0.36,0.1045
1.309824,3,0,7,12,0,2,1,1,0.8,0.7273,0.43,0.1045
1.353456,4,1,11,20,0,3,1,1,0.34,0.3485,0.61,0.1045
1.299888,1,0,3,3,0,6,0,1,0.24,0.2273,0.65,0.2537
1.3329792,2,1,3,12,0,4,1,1,0.5,0.4848,0.42,0.4925
1.327968,1,1,1,20,0,2,1,1,0.4,0.4091,0.58,0.1045
1.3281408,1,1,2,19,0,4,1,1,0.38,0.3939,0.43,0.5224
1.31112,3,0,7,0,0,3,1,1,0.7,0.6667,0.84,0.1045
1.30896,3,0,6,20,0,6,0,1,0.7,0.6515,0.48,0.194
1.3343616,2,1,4,0,0,6,0,1,0.4,0.4091,0.58,0.1343
1.3470624,3,1,9,9,0,6,0,1,0.7,0.6667,0.74,0.3881
1.3027392,2,0,4,0,0,4,1,1,0.38,0.3939,0.76,0.1343
1.3140576,3,0,8,11,0,2,1,1,0.7,0.6364,0.34,0.1045
1.3493088,4,1,10,4,0,4,1,2,0.64,0.5758,0.89,0.0
1.3176,4,0,10,3,0,1,1,1,0.36,0.3788,0.81,0.0
1.3488768,4,1,9,0,0,6,0,1,0.54,0.5152,0.6,0.2239
1.348704,4,1,9,21,0,4,1,3,0.62,0.5758,0.83,0.2985
1.3138848,3,0,8,11,0,0,0,1,0.8,0.7879,0.63,0.2836
1.3453344,3,1,8,21,0,0,0,3,0.62,0.5909,0.78,0.0896
1.3014432,2,0,3,15,0,3,1,3,0.28,0.2576,0.81,0.2985
1.3315104,1,1,3,15,0,1,1,1,0.56,0.5303,0.4,0.1343
1.305936,2,0,5,4,0,6,0,1,0.46,0.4545,0.88,0.1343
1.3416192,3,1,7,0,0,6,0,1,0.78,0.7576,0.66,0.1343
1.3341024,2,1,4,17,0,3,1,1,0.42,0.4242,0.35,0.3881
1.30032,1,0,3,18,0,4,1,2,0.46,0.4545,0.59,0.1642
1.2941856,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343
1.3386816,2,1,6,0,0,0,0,1,0.54,0.5152,0.6,0.1642
1.3364352,2,1,5,0,0,2,1,2,0.52,0.5,0.52,0.2537
1.3105152,3,0,7,23,0,3,1,1,0.66,0.6061,0.83,0.2537
1.3245984,1,0,12,2,0,5,1,3,0.38,0.3939,0.94,0.1343
1.3068864,2,0,6,21,0,3,1,1,0.74,0.697,0.7,0.2836
1.315872,3,0,9,2,0,2,1,1,0.6,0.5758,0.78,0.0
1.30032,1,0,3,17,0,4,1,1,0.5,0.4848,0.42,0.194
1.3404096,3,1,6,23,0,6,0,1,0.72,0.6515,0.44,0.0
1.2966912,1,0,2,22,0,4,1,1,0.18,0.2121,0.51,0.0896
1.3493088,4,1,10,23,0,4,1,1,0.6,0.6212,0.56,0.0896
1.3107744,3,0,7,15,0,6,0,1,0.76,0.6818,0.45,0.3284
1.3373856,2,1,5,11,0,6,0,1,0.62,0.6212,0.38,0.0896
1.336608,2,1,5,21,0,4,1,1,0.5,0.4848,0.42,0.194
1.3411008,3,1,7,4,0,0,0,1,0.7,0.6667,0.79,0.194
1.3172544,4,0,9,10,0,4,1,1,0.64,0.6061,0.65,0.194
1.3220928,4,0,11,18,1,4,0,1,0.42,0.4242,0.5,0.0896
1.3094784,3,0,7,2,0,5,1,1,0.62,0.6061,0.69,0.0
1.3529376,4,1,11,19,0,4,1,2,0.34,0.3333,0.61,0.1343
1.3250304,1,0,12,8,0,3,1,1,0.32,0.2879,0.57,0.3582
1.3429152,3,1,7,5,0,0,0,1,0.6,0.5455,0.88,0.0
1.3125024,3,0,8,0,0,5,1,1,0.66,0.6212,0.74,0.1045
1.3256352,1,1,1,17,0,3,1,2,0.2,0.197,0.4,0.194
1.3399776,2,1,6,18,0,1,1,2,0.62,0.6061,0.69,0.1642
1.3468896,3,1,9,23,0,4,1,1,0.64,0.5758,0.89,0.1642
1.3036896,2,0,4,7,0,1,1,2,0.52,0.5,1.0,0.0896
1.349136,4,1,10,19,0,2,1,3,0.62,0.5455,0.94,0.0
1.3437792,3,1,8,19,0,3,1,1,0.74,0.697,0.66,0.2537
1.3250304,1,0,12,13,0,3,1,1,0.34,0.2879,0.39,0.4627
1.3010976,2,0,3,17,0,6,0,1,0.32,0.303,0.24,0.2239
1.3399776,2,1,6,6,0,1,1,3,0.52,0.5,0.88,0.1343
1.3414464,3,1,7,18,0,4,1,2,0.9,0.8333,0.39,0.3284
1.32408,4,0,12,16,0,6,0,1,0.28,0.2727,0.45,0.2239
1.3563936,1,1,12,20,1,2,0,2,0.32,0.303,0.66,0.2836
1.3143168,3,0,8,16,0,5,1,1,0.78,0.7424,0.62,0.1045
1.3073184,2,0,6,2,0,1,1,1,0.58,0.5455,0.88,0.1045
1.3117248,3,0,7,18,0,3,1,1,0.82,0.7121,0.28,0.1045
1.316736,4,0,9,14,0,5,1,3,0.6,0.5,1.0,0.0896
1.34136,3,1,7,4,1,3,0,1,0.68,0.6364,0.69,0.2537
1.3475808,3,1,9,3,0,5,1,1,0.54,0.5152,0.77,0.0
1.3106016,3,0,7,12,0,4,1,1,0.74,0.6515,0.35,0.2537
1.3182912,4,0,10,5,0,2,1,2,0.52,0.5,0.88,0.0
1.318464,4,0,10,18,0,4,1,3,0.62,0.5758,0.83,0.2537
1.3222656,4,0,11,18,0,6,0,2,0.42,0.4242,0.62,0.1642
1.3161312,3,0,9,16,0,5,1,2,0.52,0.5,0.48,0.1642
1.3274496,1,1,1,15,0,3,1,1,0.36,0.3788,0.46,0.0
1.2986784,1,0,2,10,0,6,0,2,0.3,0.303,0.49,0.1343
1.356912,1,1,12,16,0,1,1,2,0.26,0.2576,0.48,0.194
1.3144032,3,0,8,4,0,6,0,2,0.7,0.6667,0.84,0.2239
1.324512,1,0,12,8,0,4,1,2,0.36,0.3788,0.87,0.0
1.3276224,1,1,1,3,0,5,1,2,0.42,0.4242,0.94,0.2836
1.2953952,1,0,1,5,0,3,1,2,0.22,0.2576,0.93,0.0896
1.3073184,2,0,6,8,0,1,1,1,0.64,0.6061,0.73,0.0896
1.3008384,2,0,3,1,0,3,1,3,0.34,0.3182,0.76,0.2239
1.3088736,3,0,6,19,0,5,1,1,0.74,0.6515,0.4,0.2239
1.3342752,2,1,4,8,0,5,1,1,0.38,0.3939,0.46,0.1642
1.3081824,2,0,6,17,0,4,1,2,0.64,0.5909,0.78,0.1045
1.2972096,1,0,2,7,0,3,1,1,0.06,0.1061,0.49,0.1045
1.3312512,1,1,3,15,0,5,1,1,0.46,0.4545,0.24,0.2537
1.3139712,3,0,8,15,0,1,1,1,0.74,0.6515,0.3,0.2985
1.3423968,3,1,7,6,0,1,1,1,0.68,0.6364,0.79,0.1343
1.3015296,2,0,3,19,0,4,1,2,0.3,0.303,0.87,0.1343
1.3032576,2,0,4,21,0,3,1,1,0.66,0.6212,0.36,0.2836
1.3272768,1,1,1,7,0,1,1,3,0.2,0.2576,0.86,0.0
1.3166496,3,0,9,13,0,4,1,2,0.66,0.6061,0.83,0.194
1.3550976,4,1,12,11,0,1,1,3,0.46,0.4545,0.94,0.2239
1.3477536,3,1,9,18,0,0,0,1,0.62,0.6212,0.5,0.1642
1.3501728,4,1,10,12,0,0,0,1,0.62,0.6212,0.46,0.3284
1.3246848,1,0,12,0,0,6,0,2,0.32,0.3182,0.7,0.1642
1.3384224,2,1,5,22,0,4,1,1,0.66,0.6212,0.5,0.1642
1.3371264,2,1,5,21,0,3,1,1,0.64,0.6061,0.73,0.194
1.2948768,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179
1.339632,2,1,6,6,0,4,1,1,0.58,0.5455,0.6,0.2836
1.3058496,2,0,5,21,0,5,1,1,0.56,0.5303,0.64,0.1045
1.3247712,1,0,12,13,0,0,0,1,0.32,0.303,0.7,0.2537
1.326672,1,1,1,11,1,1,0,1,0.16,0.1515,0.59,0.2537
1.310688,3,0,7,5,0,5,1,1,0.6,0.5909,0.73,0.1343
1.3432608,3,1,7,11,0,4,1,1,0.8,0.803,0.66,0.2239
1.3552704,4,1,12,15,0,3,1,2,0.34,0.3485,0.46,0.1045
1.334016,2,1,4,21,0,2,1,1,0.44,0.4394,0.3,0.4478
1.3099968,3,0,7,19,0,4,1,1,0.82,0.7727,0.52,0.2836
1.2982464,1,0,2,9,1,1,0,2,0.32,0.303,0.57,0.2836
1.3433472,3,1,7,14,0,5,1,1,0.86,0.803,0.47,0.2985
1.3328928,2,1,3,12,0,3,1,2,0.54,0.5152,0.39,0.3582
1.3515552,4,1,10,20,0,2,1,2,0.3,0.2879,0.81,0.194
1.3393728,2,1,6,18,0,1,1,2,0.8,0.7273,0.43,0.2985
1.3531104,4,1,11,4,0,6,0,1,0.24,0.2273,0.7,0.194
1.3153536,3,0,9,14,0,3,1,3,0.6,0.5152,0.93,0.0
1.3291776,1,1,2,11,0,2,1,2,0.3,0.303,0.45,0.1642
1.3289184,1,1,2,2,0,6,0,3,0.26,0.2576,0.81,0.194
1.2945312,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284
1.3297824,1,1,2,1,0,2,1,1,0.26,0.303,0.56,0.0
1.3554432,4,1,12,23,0,5,1,1,0.28,0.303,0.75,0.0896
1.3086144,3,0,6,4,0,2,1,2,0.6,0.5455,0.88,0.1045
1.3432608,3,1,7,23,0,4,1,1,0.72,0.6818,0.7,0.1343
1.3148352,3,0,9,19,0,4,1,1,0.7,0.6515,0.58,0.1642
1.2944448,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925
1.3088736,3,0,6,22,0,5,1,1,0.7,0.6515,0.48,0.0
1.3380768,2,1,5,18,0,0,0,1,0.76,0.7121,0.58,0.2985
1.35432,4,1,12,0,0,6,0,1,0.26,0.303,0.81,0.0
1.31544,3,0,9,15,0,4,1,3,0.66,0.5909,0.89,0.2985
1.3507776,4,1,10,0,0,0,0,1,0.44,0.4394,0.54,0.1642
1.3261536,1,1,1,9,0,2,1,2,0.18,0.197,0.93,0.1642
1.3061088,2,0,5,15,0,1,1,2,0.72,0.6818,0.62,0.4478
1.340928,3,1,6,17,0,5,1,1,0.98,0.9242,0.34,0.194
1.2972096,1,0,2,15,0,3,1,2,0.2,0.1818,0.34,0.2836
1.3151808,3,0,9,21,1,1,0,2,0.66,0.5909,0.94,0.2985
1.3028256,2,0,4,22,1,5,0,2,0.38,0.3939,0.82,0.3881
1.3449024,3,1,8,11,0,2,1,1,0.74,0.6818,0.62,0.0
1.3356576,2,1,4,16,0,0,0,1,0.6,0.6061,0.28,0.194
1.342224,3,1,7,1,0,6,0,2,0.7,0.6515,0.51,0.1045
1.2995424,1,0,3,4,0,2,1,1,0.22,0.2727,0.64,0.0
1.3127616,3,0,8,13,0,1,1,1,0.84,0.7576,0.44,0.2985
1.298592,1,0,2,10,0,5,1,3,0.42,0.4242,0.94,0.3284
1.3062816,2,0,5,23,0,3,1,1,0.64,0.6061,0.73,0.1343
1.3558752,4,1,12,5,0,3,1,1,0.26,0.2879,0.75,0.0896
1.3077504,2,0,6,4,0,6,0,1,0.68,0.6364,0.79,0.0896
1.3127616,3,0,8,4,0,1,1,1,0.66,0.5909,0.89,0.1045
1.336176,2,1,5,21,0,6,0,2,0.58,0.5455,0.78,0.2239
1.3450752,3,1,8,23,0,4,1,1,0.7,0.6515,0.54,0.1045
1.3368672,2,1,5,19,0,0,0,2,0.66,0.6212,0.5,0.4179
1.3106016,3,0,7,18,0,4,1,1,0.72,0.6515,0.42,0.194
1.351728,4,1,11,22,0,4,1,1,0.36,0.3485,0.57,0.1642
1.317168,4,0,9,1,0,3,1,1,0.6,0.5455,0.88,0.0
1.2975552,1,0,2,11,0,0,0,1,0.32,0.2879,0.39,0.4478
1.3023072,2,0,4,6,0,6,0,2,0.3,0.2879,0.93,0.194
1.323216,4,0,12,16,0,3,1,3,0.42,0.4242,0.94,0.194
1.3026528,2,0,4,9,0,3,1,2,0.38,0.3939,0.94,0.2239
1.3360032,2,1,5,4,0,4,1,2,0.46,0.4545,0.88,0.2537
1.3013568,2,0,3,21,0,2,1,1,0.34,0.3636,0.42,0.0
1.3036032,2,0,4,15,0,0,0,1,0.66,0.6212,0.61,0.2537
1.3566528,1,1,12,11,0,5,1,2,0.28,0.2727,0.52,0.2239
1.3320288,1,1,3,1,0,0,0,1,0.46,0.4545,0.82,0.1343
1.318896,4,0,10,11,0,2,1,2,0.6,0.6212,0.49,0.1045
1.2948768,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537
1.3468896,3,1,9,20,0,4,1,1,0.66,0.6061,0.78,0.2239
1.3186368,4,0,10,14,0,6,0,1,0.6,0.6212,0.33,0.4627
1.333584,2,1,4,13,0,4,1,1,0.46,0.4545,0.31,0.0
1.302912,2,0,4,17,0,6,0,3,0.5,0.4848,0.88,0.5821
1.3129344,3,0,8,5,0,3,1,1,0.68,0.6364,0.61,0.0896
1.3506912,4,1,10,4,0,6,0,1,0.44,0.4394,0.72,0.0
1.3506048,4,1,10,2,0,5,1,2,0.54,0.5152,0.88,0.0
1.297296,1,0,2,6,0,4,1,2,0.12,0.1212,0.54,0.2836
1.3531104,4,1,11,14,0,6,0,1,0.42,0.4242,0.38,0.194
1.3261536,1,1,1,19,0,2,1,1,0.38,0.3939,0.46,0.1045
1.34568,3,1,8,7,0,4,1,2,0.62,0.5758,0.83,0.0896
1.3023936,2,0,4,7,0,0,0,2,0.36,0.3636,1.0,0.0896
1.350432,4,1,10,19,0,3,1,1,0.5,0.4848,0.72,0.194
1.356048,1,1,12,6,0,5,1,2,0.34,0.2879,0.57,0.5821
1.304208,2,0,5,22,0,0,0,2,0.46,0.4545,0.82,0.0
1.2946176,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836
1.3493952,4,1,10,2,0,5,1,1,0.54,0.5152,0.73,0.0896
1.3131936,3,0,8,22,0,6,0,2,0.68,0.6364,0.83,0.3881
1.3066272,2,0,5,20,0,0,0,1,0.7,0.6667,0.79,0.194
1.3455072,3,1,8,20,0,2,1,1,0.64,0.6061,0.73,0.0
1.3259808,1,1,1,8,0,0,0,1,0.3,0.303,0.52,0.1343
1.3234752,4,0,12,14,0,6,0,1,0.34,0.303,0.31,0.3284
1.3005792,1,0,3,21,0,0,0,2,0.34,0.3182,0.53,0.2836
1.3142304,3,0,8,12,0,4,1,3,0.7,0.6667,0.79,0.0
1.3346208,2,1,4,7,0,2,1,1,0.6,0.6212,0.43,0.2537
1.3496544,4,1,10,3,1,1,0,1,0.34,0.3485,0.81,0.1045
1.3287456,1,1,2,17,0,4,1,1,0.34,0.3333,0.34,0.1343
1.301184,2,0,3,22,0,0,0,1,0.26,0.2576,0.41,0.1642
1.3248576,1,0,12,11,1,1,0,1,0.34,0.2879,0.46,0.5821
1.303344,2,0,4,17,0,4,1,1,0.5,0.4848,0.29,0.1642
1.311552,3,0,7,20,0,1,1,1,0.72,0.697,0.74,0.1343
1.3105152,3,0,7,10,0,3,1,1,0.82,0.7576,0.46,0.194
1.3068,2,0,5,2,0,2,1,2,0.66,0.5909,0.94,0.1343
1.3519008,4,1,11,20,0,6,0,1,0.34,0.3333,0.53,0.1343
1.3051584,2,0,5,9,0,4,1,2,0.5,0.4848,0.77,0.2836
1.3211424,4,0,11,14,0,0,0,2,0.54,0.5152,0.28,0.4925
1.3500864,4,1,10,13,0,6,0,1,0.46,0.4545,0.36,0.194
1.3247712,1,0,12,6,0,0,0,1,0.2,0.2273,0.75,0.1045
1.311984,3,0,7,2,0,6,0,1,0.76,0.697,0.55,0.1045
1.339632,2,1,6,17,0,4,1,1,0.72,0.6667,0.48,0.2239
1.3307328,1,1,3,13,0,6,0,1,0.44,0.4394,0.51,0.2836
1.3471488,3,1,9,18,0,0,0,1,0.66,0.6212,0.36,0.2537
1.3137984,3,0,8,14,0,6,0,1,0.8,0.7424,0.49,0.194
1.3500864,4,1,10,15,0,6,0,1,0.5,0.4848,0.36,0.194
1.3360032,2,1,5,7,0,4,1,3,0.44,0.4394,0.94,0.1045
1.3391136,2,1,6,15,0,5,1,1,0.76,0.6667,0.29,0.2836
1.3238208,4,0,12,4,0,3,1,1,0.26,0.303,0.75,0.0
1.2950496,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0.0
1.3360032,2,1,5,10,0,4,1,2,0.52,0.5,0.77,0.0
1.3090464,3,0,6,22,0,0,0,1,0.7,0.6515,0.51,0.0
1.3276224,1,1,1,16,0,5,1,1,0.44,0.4394,0.51,0.5522
1.2993696,1,0,3,4,0,0,0,2,0.42,0.4242,0.88,0.3582
1.3431744,3,1,7,6,0,3,1,1,0.64,0.6061,0.65,0.194
1.3325472,2,1,3,2,0,6,0,1,0.54,0.5152,0.77,0.1045
1.31976,4,0,10,5,0,5,1,2,0.3,0.2879,0.61,0.2537
1.3281408,1,1,2,13,0,4,1,2,0.42,0.4242,0.77,0.0
1.3270176,1,1,1,20,0,5,1,2,0.2,0.2273,0.34,0.0896
1.3031712,2,0,4,23,0,2,1,1,0.46,0.4545,0.88,0.0896
1.3027392,2,0,4,12,0,4,1,1,0.54,0.5152,0.42,0.1343
1.3550976,4,1,12,14,0,1,1,2,0.5,0.4848,0.94,0.2239
1.2982464,1,0,2,6,1,1,0,2,0.42,0.4242,0.26,0.2985
1.320192,4,0,11,14,0,3,1,1,0.5,0.4848,0.45,0.1642
1.3134528,3,0,8,11,0,2,1,1,0.74,0.6667,0.51,0.2239
1.3251168,1,0,12,3,0,4,1,1,0.2,0.197,0.55,0.194
1.3202784,4,0,11,21,0,4,1,1,0.4,0.4091,0.76,0.1343
1.3440384,3,1,8,11,0,6,0,1,0.86,0.803,0.47,0.2537
1.303776,2,0,4,5,0,2,1,1,0.54,0.5152,0.88,0.2537
1.3137984,3,0,8,5,0,6,0,1,0.6,0.5606,0.83,0.0
1.334016,2,1,4,3,0,2,1,1,0.36,0.3485,0.71,0.1343
1.3322016,1,1,3,18,0,2,1,1,0.6,0.5909,0.69,0.2537
1.3241664,4,0,12,2,0,0,0,1,0.22,0.2424,0.55,0.1045
1.3380768,2,1,5,13,0,0,0,1,0.76,0.7121,0.58,0.194
1.307232,2,0,6,11,0,0,0,2,0.64,0.6061,0.69,0.1045
1.3264992,1,1,1,20,0,6,0,1,0.2,0.197,0.44,0.2537
1.3203648,4,0,11,12,0,5,1,2,0.48,0.4697,0.55,0.4925
1.3023072,2,0,4,0,0,6,0,2,0.3,0.2879,0.87,0.2239
1.3175136,4,0,10,14,0,0,0,3,0.36,0.3485,0.81,0.1642
1.3437792,3,1,8,18,0,3,1,3,0.76,0.7121,0.62,0.2239
1.2975552,1,0,2,19,0,0,0,1,0.4,0.4091,0.35,0.2836
1.2953952,1,0,1,13,0,3,1,1,0.4,0.4091,0.62,0.2836
1.3192416,4,0,10,7,0,6,0,1,0.36,0.3636,0.76,0.1045
1.3043808,2,0,5,12,0,2,1,2,0.68,0.6364,0.61,0.4925
1.3470624,3,1,9,16,0,6,0,3,0.56,0.5303,0.88,0.194
1.3126752,3,0,8,5,0,0,0,1,0.7,0.6667,0.89,0.194
1.3005792,1,0,3,3,0,0,0,1,0.28,0.2727,0.56,0.2537
1.2946176,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985
1.3411872,3,1,7,17,0,1,1,1,0.84,0.7273,0.32,0.1343
1.3259808,1,1,1,22,0,0,0,1,0.26,0.2727,0.6,0.1045
1.3303008,1,1,2,12,0,1,1,1,0.4,0.4091,0.37,0.2985
1.3277088,1,1,1,20,0,6,0,1,0.4,0.4091,0.35,0.3881
1.3178592,4,0,10,20,0,4,1,1,0.5,0.4848,0.77,0.1045
1.2945312,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194
1.3330656,2,1,3,3,0,5,1,1,0.34,0.3333,0.61,0.1343
1.3339296,2,1,4,17,0,1,1,1,0.54,0.5152,0.32,0.4179
1.346976,3,1,9,16,0,5,1,1,0.8,0.7576,0.55,0.2836
1.3473216,3,1,9,4,0,2,1,1,0.48,0.4697,0.72,0.1045
1.296432,1,0,1,20,0,1,1,3,0.16,0.1667,0.59,0.1642
1.3135392,3,0,8,8,0,3,1,1,0.7,0.6515,0.54,0.1642
1.3047264,2,0,5,2,0,6,0,1,0.42,0.4242,0.82,0.0896
1.3393728,2,1,6,0,0,1,1,1,0.7,0.6515,0.65,0.1045
1.3360896,2,1,5,7,0,5,1,1,0.56,0.5303,0.88,0.0
1.31328,3,0,8,23,0,0,0,3,0.6,0.5606,0.83,0.0
1.329264,1,1,2,15,0,3,1,1,0.42,0.4242,0.41,0.2239
1.3030848,2,0,4,11,0,1,1,2,0.54,0.5152,0.52,0.0896
1.305504,2,0,5,20,0,1,1,1,0.58,0.5455,0.83,0.0
1.3376448,2,1,5,14,0,2,1,2,0.64,0.6061,0.73,0.1045
1.3472352,3,1,9,2,0,1,1,1,0.54,0.5152,0.6,0.3582
1.310256,3,0,7,6,0,0,0,1,0.64,0.5909,0.78,0.0896
1.35216,4,1,11,20,0,2,1,1,0.3,0.2879,0.61,0.2239
1.3297824,1,1,2,16,0,2,1,1,0.36,0.3333,0.46,0.4179
1.3381632,2,1,5,9,1,1,0,1,0.7,0.6515,0.61,0.0
1.3416192,3,1,7,21,0,6,0,1,0.88,0.7879,0.37,0.194
1.350864,4,1,10,5,0,1,1,1,0.38,0.3939,0.76,0.0896
1.3531968,4,1,11,13,0,0,0,1,0.4,0.4091,0.62,0.3284
1.327968,1,1,1,10,0,2,1,2,0.32,0.3182,0.57,0.194
1.3420512,3,1,7,9,0,4,1,1,0.72,0.6667,0.58,0.1045
1.30896,3,0,6,11,0,6,0,1,0.74,0.6667,0.42,0.0
1.3246848,1,0,12,6,0,6,0,2,0.3,0.303,0.75,0.1642
1.3013568,2,0,3,14,0,2,1,1,0.36,0.3333,0.25,0.2537
1.3488768,4,1,9,22,0,6,0,1,0.5,0.4848,0.63,0.1045
1.321488,4,0,11,13,0,4,1,2,0.34,0.303,0.49,0.4478
1.3358304,2,1,5,9,0,2,1,2,0.54,0.5152,0.88,0.194
1.3527648,4,1,11,0,0,2,1,2,0.52,0.5,0.83,0.2836
1.3453344,3,1,8,13,0,0,0,3,0.64,0.5758,0.83,0.1343
1.322784,4,0,12,9,0,5,1,1,0.28,0.3182,0.81,0.0
1.3088736,3,0,6,4,0,5,1,1,0.66,0.6061,0.83,0.0896
1.3538016,4,1,11,4,0,0,0,1,0.22,0.2727,0.44,0.0
1.3359168,2,1,5,20,0,3,1,1,0.52,0.5,0.77,0.2537
1.3169088,4,0,9,18,0,0,0,1,0.68,0.6364,0.74,0.0
1.3528512,4,1,11,11,0,3,1,1,0.32,0.303,0.49,0.2537
1.3220928,4,0,11,2,1,4,0,1,0.3,0.2879,0.61,0.2836
1.3247712,1,0,12,12,0,0,0,1,0.3,0.2727,0.75,0.2985
1.3199328,4,0,10,4,0,0,0,1,0.22,0.197,0.8,0.3284
1.3467168,3,1,9,2,0,2,1,1,0.68,0.6364,0.82,0.1343
1.3472352,3,1,9,13,0,1,1,1,0.64,0.6212,0.38,0.2239
1.3282272,1,1,2,6,0,5,1,1,0.24,0.2424,0.65,0.1642
1.3113792,3,0,7,17,0,6,0,1,0.94,0.8788,0.38,0.1343
1.3506912,4,1,10,13,0,6,0,1,0.56,0.5303,0.43,0.1642
1.3338432,2,1,4,0,0,0,0,1,0.44,0.4394,0.24,0.2239
1.3289184,1,1,2,3,0,6,0,3,0.24,0.2273,0.87,0.2239
1.3052448,2,0,5,6,0,5,1,3,0.5,0.4848,0.88,0.1343
1.3544928,4,1,12,3,0,1,1,1,0.38,0.3939,0.87,0.0
